schoolid,schoolname,lat,lng
313608,三民國小,0,0
413619,三玉國小,0,0
343602,中正國小,0,0
343607,五常國小,0,0
313609,健康國小,0,0
323603,光復國小,0,0
333609,公館國小,0,0
423601,北投國小,0,0
393601,南港國小,0,0
403612,南湖國小,0,0
323609,博愛國小,0,0
323606,吳興國小,0,0
353604,國語實小,0,0
343606,大佳國小,0,0
363606,大同國小,0,0
423608,大屯國小,0,0
363609,大橋國小,0,0
363607,大龍國小,0,0
363603,太平國小,0,0
353608,市大附小,0,0
363608,延平國小,0,0
383606,志清國小,0,0
353603,忠義國小,0,0
383612,指南國小,0,0
423616,文化國小,0,0
373601,新和國小,0,0
333610,新生國小,0,0
343505,新興國中,0,0
423614,明德國小,0,0
383601,景美國小,0,0
393606,東新國小,0,0
403604,東湖國小,0,0
313601,松山國小,0,0
313606,民權國小,0,0
343610,永安國小,0,0
383609,永建國小,0,0
353602,河堤國小,0,0
423607,泉源國小,0,0
423605,湖田國小,0,0
413609,溪山國小,0,0
403603,潭美國小,0,0
413605,社子國小,0,0
323607,福德國小,0,0
373609,老松國小,0,0
393605,胡適國小,0,0
413504,至善國中,0,0
393602,舊莊國小,0,0
373607,華江國小,0,0
383614,萬芳國小,0,0
363601,蓬萊國小,0,0
383619,辛亥國小,0,0
423602,逸仙國小,0,0
333606,金華國小,0,0
343603,長安國小,0,0
423604,關渡國小,0,0
413606,雨聲國小,0,0
333601,龍安國小,0,0
373610,龍山國小,0,0
